year,party_abbreviation,ac_name,matched_ac_name,dist_name,cand_name,total_valid_votes,position
2013,IND,Mowkaiaw,Mowkaiaw,WEST JAINTIA HILLS,ROBINUS SYNGKON,7064,1
2013,UDP,Bajengdoba,Bajengdoba,NORTH GARO HILLS,ROCKY R. MARAK,1011,4
2013,IND,North Tura,North-Tura,WEST GARO HILLS,ROGER BENNY A. SANGMA,4148,2
2013,NCP,Dadenggre,Dadenggre,WEST GARO HILLS,ROHIDAS MARAK,290,6
2013,IND,Mawshynrut,Mawshynrut,WEST KHASI HILLS,ROLAND MAWSOR,710,9
2013,BJP,East Shillong,East-Shillong,EAST KHASI HILLS,ROMEO PHIRA RANI,930,3
2013,UDP,Nongpoh,Nongpoh,RI BHOI,RONA KHYMDEIT,7329,2
2013,INC,Mylliem,Mylliem,EAST KHASI HILLS,RONNIE V. LYNGDOH,8072,1
2013,IND,Rongara Siju,Rongara-Siju,SOUTH GARO HILLS,ROPHUL S. MARAK,5458,1
2013,INC,North Shillong,North-Shillong,EAST KHASI HILLS,ROSHAN WARJRI,8445,1
2013,INC,Mawkyrwat,Mawkyrwat,SOUTH WEST KHASI HILLS,ROWELL LYNGDOH,6024,1
2013,INC,Jowai,Jowai,WEST JAINTIA HILLS,ROYTRE CHRISTOPHER LALOO,9496,1
2013,IND,Kharkutta,Kharkutta,EAST GARO HILLS,RUPERT MOMIN,5862,3
2013,IND,Sohra,Sohra,EAST KHASI HILLS,S. DONSKOBAR MYLLIEM,2514,3
2013,IND,Rongjeng,Rongjeng,EAST GARO HILLS,SABINA D SANGMA,3923,2
2013,NPP,Phulbari,Phulbari,WEST GARO HILLS,SADER HOSSAIN,1587,5
2013,IND,Gambegre,Gambegre,WEST GARO HILLS,SALENG A. SANGMA,7260,1
2013,INC,Resubelpara,Resubelpara,NORTH GARO HILLS,SALSENG C. MARAK,9070,1
2013,IND,Baghmara,Baghmara,SOUTH GARO HILLS,SAMUEL M. SANGMA,7728,1
2013,NCP,South Shillong,South-Shillong,EAST KHASI HILLS,SANBOR SHULLAI,7179,1
2013,NCP,Gambegre,Gambegre,WEST GARO HILLS,SANJIV R. MARAK,463,8
2013,UDP,WilliamNagar,William-Nagar,EAST GARO HILLS,SANTOSH R MARAK,2839,4
2013,NPP,Rongara Siju,Rongara-Siju,SOUTH GARO HILLS,SATTO R. MARAK,2917,4
2013,NCP,Pynthorumkhrah,Pynthorumkhrah,EAST KHASI HILLS,SATYENDRA KUMAR,142,5
2013,INC,Rajabala,Rajabala,WEST GARO HILLS,SAYEEDULLAH NONGRUM,1993,5
2013,IND,Baghmara,Baghmara,SOUTH GARO HILLS,SECONDSON A. SANGMA,1339,5
2013,NPP,Mahendraganj,Mahendraganj,SOUTH WEST GARO HILLS,SEMFORD B. SANGMA,1346,4
2013,UDP,Rangsakona,Rangsakona,WEST GARO HILLS,SENGBAN R. SANGMA,123,8
2013,IND,Dalu,Dalu,WEST GARO HILLS,SENGKAL A. SANGMA,2033,4
2013,IND,Dadenggre,Dadenggre,WEST GARO HILLS,SENGMAN R. MARAK,3023,4
2013,INC,Rongjeng,Rongjeng,EAST GARO HILLS,SENGNAM MARAK,6709,1
2013,IND,North Tura,North-Tura,WEST GARO HILLS,SENGRAK MARAK,869,7
2013,IND,Tikrikilla,Tikrikilla,WEST GARO HILLS,SERAZUL H. KHARKONGOR,471,7
2013,NPP,Nongstoin,Nongstoin,WEST KHASI HILLS,SETSINGH DKHAR,584,4
2013,IND,Tikrikilla,Tikrikilla,WEST GARO HILLS,SHAMSHER NONGRUM,283,10
2013,NPP,Mawshynrut,Mawshynrut,WEST KHASI HILLS,SHIMBOR DIENGNGAN,1181,6
2013,INC,Sutnga Saipung,Sutnga-Saipung,EAST JAINTIA HILLS,SHITLANG PALE,12743,2
2013,IND,Mahendraganj,Mahendraganj,SOUTH WEST GARO HILLS,SILME CH. MARAK,298,5
2013,UDP,Jowai,Jowai,WEST JAINTIA HILLS,SINGH MULIEH,6568,3
2013,IND,Baghmara,Baghmara,SOUTH GARO HILLS,SIRGAN A. SANGMA,4141,2
2013,BJP,Dalu,Dalu,WEST GARO HILLS,SISIR MARAK,1598,5
2013,HSPDP,Mawphlang,Mawphlang,EAST KHASI HILLS,SKOR JALA,1513,4
2013,INC,Nartiang,Nartiang,WEST JAINTIA HILLS,SNIAWBHALANG DHAR,18392,1
2013,NPP,Rajabala,Rajabala,WEST GARO HILLS,SOFIOR RAHMAN,475,7
2013,IND,Dadenggre,Dadenggre,WEST GARO HILLS,SOMIP R. MARAK,1367,5
2013,NPP,Jirang,Jirang,RI BHOI,SOSTHENES SOHTUN,5194,3
2013,IND,South Shillong,South-Shillong,EAST KHASI HILLS,SOUNDER STRONG CAJEE,3151,3
2013,IND,Umroi,Umroi,RI BHOI,STANLYWISS RYMBAI,5351,2
2013,HSPDP,Mawsynram,Mawsynram,EAST KHASI HILLS,STARFING JOVE LANGPEN PDAHKASIEJ,141,6
2013,IND,Amlarem,Amlarem,WEST JAINTIA HILLS,STEPHANSON MUKHIM,8297,1
2013,IND,Rangsakona,Rangsakona,WEST GARO HILLS,SUBIR M. MARAK,5337,2
